Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
LEKI PRZECIWPSYCHOTYCZNE,Klasyfikacja,lekarski,testowe,"Podczas stosowania kwetiapiny, bardzo popularnej w psychotycznych zaburzeniach zachowania u pacjentów oddziałów somatycznych, trzeba pamiętać, że zwiększa się ryzyko:",hipertriglicerydemii,zespołu pozapiramidowego,hiperglikemii,zakrzepowego zapalenia żył,,,,,,,KOLOKWIUM 3 – 2018/19,srednia
CHOROBA NIEDOKRWIENNA SERCA,Klasyfikacja,lekarski,testowe,Która z poniższych informacji znajduje się w charakterystyce produktu leczniczego:,informacja o warunkach przechowywania produktu leczniczego,data wydania pierwszego pozwolenia na dopuszczenie do obrotu produktu leczniczego,,,,cena produktu leczniczego,informacja o okresowym wstrzymaniu produktu leczniczego w obrocie,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
UKŁAD POKARMOWY,Farmakokinetyka,lekarski,testowe,Do określenia biodostępności leku po podaniu doustnym konieczna jest znajomość:,AUC0→t po podaniu dożylnym,AUC0→t po podaniu doustnym,,,,stopnia wchłaniania ksylozy z przewodu pokarmowego,Cmax leku po podaniu dożylnym,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
FARMAKOKINETYKA,Wskazania,lekarski,testowe,"W stanie stacjonarnym objętość dystrybucji leku A = 6 l, a leku B = 206 l. Na podstawie tych danych można stwierdzić, że w stanie stacjonarnym lek A:",osiąga większe stężenie we krwi niż lek B po podaniu takiej samej dawki obu leków i.v,jest rozmieszczony nierównomiernie w przestrzeniach płynowych organizmu,,,,działa w kompartmencie obwodowym,jest eliminowany zgodnie z kinetyką 0 rzędu,Która z poniższych par lek-zagrażające życiu działanie niepożądane jest prawdziwa?,,,KOLOKWIUM 1 – 2017/18 - 1 termin,srednia
CUKRZYCA,Wskazania,lekarski,testowe,W celu obniżenia glikemii przed posiłkiem można podać:,glulizynę,,,,,degludec,detemir,glarginę,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
LEKI PRZECIWGRZYBICZE,Wskazania,lekarski,testowe,W leczeniu hiperprolaktynemii (prolaktynoma to najczęstszy typ gruczolaka przysadki) uzasadnione jest zastosowanie:,bromokryptyny,,,,,ketokonazolu,eplerenonu,klomifenu,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
FARMAKOKINETYKA,Wskazania,lekarski,testowe,Odtwórczy (generyczny) produkt leczniczy to produkt leczniczy :,zawierający tę samą substancję aktywną co produkt oryginalny (innowacyjny),biorównoważny z produktem oryginalnym (innowacyjnym),,,,mający ten sam skład co produkt oryginalny (innowacyjny),zarejestrowany także w innych wskazaniach niż produkt oryginalny (innowacyjny),,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
ANTYKONCEPCJA,Wskazania,lekarski,testowe,„Lekiem” o nieudokumentowanej skuteczności (de facto bezwartościowym) jest:,beta-glukan,,,,,drospirenon,metamizol,aprotynina,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
LEKI PRZECIWBAKTERYJNE,Przeciwwskazania,lekarski,testowe,U chorych obciążonych dodatnią historią krwawienia z wrzodów żołądka w przypadku planowanego przewlekłego leczenia NLPZ należy:,przepisać dodatkowo pantoprazol,wykonać test na nosicielstwo Helicobacter pylori w celu ewentualnej eradykacji,przy braku innych przeciwwskazań wybrać lek z grupy koksybów,,,bezwzględnie odstąpić od terapii klasycznymi (nieselektywnymi) NLPZ,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,srednia
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Do leków zwiększających niekorzystny wpływ NLPZ na przewód pokarmowy zaliczysz:,warfarynę,prednizon,,,,etamsylat,sukralfat,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,srednia
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Czynniki stymulujące erytropoezę:,powodują przemijające objawy grypopodobne,zwiększają ciśnienie tętnicze krwi,rzadko powodują wybiórczą aplazję czerwonokrwinkową,predysponują do powikłań zakrzepowych,,,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
HEMOSTAZA,Mechanizm działania,lekarski,testowe,Którego/których leków może dotyczyć poniższy opis: pośrednio hamuje aktywność czynnika krzepnięcia Xa:,enoksaparyna,fondaparyna,,,,edoksaban,biwalirudyna,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
HEMOSTAZA,Farmakokinetyka,lekarski,testowe,"Którego/których leków może dotyczyć poniższy opis: prolek, nieodwracalnie blokujący receptory P2Y12:",prasugrel,,,,,dipyrydamol,tikagrelor,cilostazol,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
HEMOSTAZA,Monitorowanie,lekarski,testowe,Wadą heparyny niefrakcjonowanej w porównaniu z drobnocząsteczkowymi jest:,wymaga monitorowania APTT,silniej indukuje powstawanie przeciwciał p-kompleksowi PF4 z heparyną,,,,jest mniej bezpieczna w niewydolności nerek,trudniej jest zneutralizować jej działanie siarczanem protaminy,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Mechanizm działania,lekarski,testowe,Rosuwastatyna zmniejsza:,syntezę cholesterolu w wątrobie poprzez konkurencyjne hamowanie aktywności reduktazy HMG-CoA,stężenie cholesterolu LDL,"stężenie lipoprotein zawierających apoB, w tym cząsteczek o dużej zawartości triglicerydów",,,ekspresję receptorów dla LDL na powierzchni hepatocytów,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Klasyfikacja,lekarski,testowe,W prawidłowo prowadzonej profilaktyce sercowo-naczyniowej (czyli profilaktyce miażdżycy) należy osiągnąć następujące cele terapeutyczne:,w grupie osób dużego ryzyka zmniejszenie stężenia cholesterolu LDL w surowicy poniżej 70 mg/dl,,,,,obniżenie stężenia trójglicerydów w surowicy poniżej 115 mg/dl,zmniejszenie masy ciała do wartości BMI poniżej 27 kg/m2,podwyższenie stężenia cholesterolu HDL w surowicy u mężczyzn powyżej 30 mg/dl,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
LEKI IMMUNOSUPRESYJNE,Mechanizm działania,lekarski,testowe,Wskaż prawidłowe stwierdzenie:,ofatumumab to ludzkie przeciwciało skierowane przeciw receptorowi CD20 limfocytów B,bazyliksymab to chimeryczne przeciwciało skierowane przeciw receptorowi CD25 na powierzchni limfocytów T,,,,rituksymab to chimeryczne przeciwciało skierowane przeciw receptorowi CD52 limfocytów B,natalizumab to humanizowane przeciwciało monoklonalne przeciw CD11a limfocytów B,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
LEKI IMMUNOSUPRESYJNE,Wskazania,lekarski,testowe,W leczeniu immunosupresyjnym jest/są stosowana/-e:,przeciwciała przeciwtymocytarne królicze,,,,,cyklofilina,inozyna,kolchicyna,,,KOLOKWIUM 1 – 2017/18 - 1 termin,srednia
FARMAKOLOGIA OGÓLNA I EBM,Klasyfikacja,lekarski,testowe,Lekiem terapii genowej jest:,fomiwirsen,mipomersen,typarwowek alipogenu,,,OKT3,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Długotrwałe stosowanie pantoprazolu może być przyczyną:,zakażeń dolnego odcinka układu oddechowego,zwyrodnienia tylnosznurowego z powodu zmniejszonego wchłaniania witaminy B12,osteoporozy,zakażeń przewodu pokarmowego,,,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,srednia
UKŁAD POKARMOWY,Interakcje,lekarski,testowe,Wskaż prawidłowe stwierdzenie dotyczące inhibitorów pompy protonowej (IPP):,są lekami prekursorowymi,aktywność osiągają w komórkach okładzinowych w fazie czynnej=wydzielniczej,powodują nieodwracalne zablokowanie pompy protonowej,w różnym stopniu hamują izoenzymy CYP (CYP2C19 i CYP3A4),,,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Wskazania,lekarski,testowe,W leczeniu zaparć będących działaniem niepożądanym agonistów receptorów opioidowych zastosowanie ma:,alwimopan,metylnaltrekson,,,,papaweryna,metadon,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
HEMOSTAZA,Działania niepożądane,lekarski,testowe,Wybierz stwierdzenie opisujące 20% roztwór albumin:,powoduje ponad 100% przyrost objętości osocza,działa objętościowo do 6 h,,,,może spowodować uszkodzenie nerek,ma istotny wpływ na krzepnięcie krwi,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
LEKI PRZECIWNOWOTWOROWE,Działania niepożądane,lekarski,testowe,Lekiem genotoksycznym jest:,cyklofosfamid,cisplatyna,doksorubicyna,irinotekan,,,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,wysoka
FARMAKOLOGIA OGÓLNA I EBM,Klasyfikacja,lekarski,testowe,Psychoaktywne substancje uzależniające aktywują:,obszar brzuszny nakrywki,jądro półleżące,korę przedczołową,mezolimbiczny układ dopaminowy,,,,,,,KOLOKWIUM 1 – 2017/18 - 1 termin,srednia
LEKI PRZECIWNOWOTWOROWE,Działania niepożądane,lekarski,testowe,Patulina:,ma działanie mutagenne,w warunkach naturalnych znana jest jako substancja skażająca jabłka i powodująca brązową zgniliznę innych owoców,,,,powoduje endemiczną epidemię bałkańską,"jest związkiem, który zwiększa ryzyko nowotworu wątroby",,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
LEKI HIPOLIPEMIZUJĄCE,Klasyfikacja,lekarski,testowe,Blaszki miażdżycowe w naczyniach wieńcowych stabilizuje:,atorwastatyna,,,,,fondaparyna,gliklazyd,kwasy omega 6,,,KOLOKWIUM 1 – 2017/18 - 1 termin,niska
FARMAKOLOGIA OGÓLNA I EBM,Klasyfikacja,lekarski,testowe,"Wyrób medyczny to narzędzie, przyrząd, aparat, sprzęt, materiał lub inny artykuł, który może służyć do:",regulacji poczęć,diagnozowania chorób,modyfikowania procesów fizjologicznych,,,leczenia farmakologicznego,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
FARMAKOKINETYKA,Interakcje,lekarski,testowe,Które stwierdzenie jest prawdziwe:,dyfuzja bierna to główny mechanizm transportu leków przez błony półprzepuszczalne,P-glikoproteina (P-gp) usuwa leki z komórki do środowiska pozakomórkowego w sposób zależny od ATP,CYP3A4 jest głównym izoenzymem uczestniczącym w metabolizmie 1 fazy leków,,,istotne klinicznie jest wiązanie leku z białkami transportującymi we krwi ≥ 60%,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
STANY NAGŁE,Dawkowanie,lekarski,testowe,W stosowanej do korekty dawkowania leków skali Childa-Turcotte’a-Pugh należy uwzględnić m.in. następujący parametr:,stężenie albumin w surowicy,stężenie bilirubiny w surowicy,"ocenę neurologiczną (zmiany osobowości, zaburzenia nastroju, spowolnienie myślenia, zaburzenia koncentracji uwagi, drżenia grubofaliste kończyn, zaburzenia mowy)",,,stężenie kreatyniny w surowicy,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
FARMAKOKINETYKA,Działania niepożądane,lekarski,testowe,"Lek L jest metabolizowany w wątrobie przy udziale enzymów CYP do nieaktywnych i nietoksycznych metabolitów, które następnie wydalane są przez nerki. Można się zatem spodziewać, że wystąpienie działań toksycznych tego leku jest:","bardziej prawdopodobne u osób pijących regularnie soki owocowe, zwłaszcza grejfrutowy",,,,,zależne głównie od stopnia wydolności nerek,częstsze podczas stosowania induktorów enzymów CYP,związane ze stosowaniem leków wiążących kwasy żółciowe w przewodzie pokarmowym,Glikokortykosteroidy są stosowane w:,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
CUKRZYCA,Działania niepożądane,lekarski,testowe,Przyrost masy ciała powoduje:,gliklazyd,insulina izofanowa,,,,liraglutyd,metformina,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
GLIKOKORTYKOSTEROIDY,Klasyfikacja,lekarski,testowe,Glikokortykosteroidy dzieli się na słabo i silnie działające na podstawie:,testu wazokonstrykcji naczyń (zblednięcia skóry),działania przeciwzapalnego,,,,działania mineralokortykoidowego,działania immunosupresyjnego,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
LEKI MOCZOPĘDNE,Działania niepożądane,lekarski,testowe,Za typowe polekowe działanie niepożądane podczas stosowania niesteroidowych leków przeciwzapalnych uznasz:,krwawienie z wrzodu dwunastnicy,skurcz oskrzeli u chorego z polipami nosa i przewlekłym zapaleniem zatok,hipernatremię (zwiększenie stężenia sodu w surowicy),,,hipokaliemię (obniżenie stężenia potasu w surowicy),,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,srednia
FARMAKOLOGIA OGÓLNA I EBM,Działania niepożądane,lekarski,testowe,Wskaż poprawną definicję:,"wpółczynnik (indeks) terapeutyczny leku – zakres między najmniejszą dawką skuteczną a maksymalną nie powodującą efektów toksycznych, im większy tym korzystniej","placebo - interwencja pozbawiona bezpośredniego działania biologicznego, mająca stworzyć u pacjenta wrażenie, że otrzymuje on leczenie",,,,"polekowe działanie niepożądane – każde niepożądane i niezamierzone zdarzenie podczas stosowania leku, bez konieczności ustalenia związku przyczynowo-skutkowego","metaanaliza - badanie wieloośrodkowe, w którym grupa eksperymentalna porównywana jest do grupy kontrolne",,,,KOLOKWIUM 1 – 2017/18 - 2 termin,srednia
UKŁAD PRZYWSPÓŁCZULNY,Antidotum,lekarski,testowe,Objawy przedawkowania oksykodonu to:,zmniejszenie częstości oddechów,,,,,rozszerzone źrenice,pobudzenie psychoruchowe,gorączka obwodowa,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,"Szybki efekt przeciwbólowy można osiągnąć, stosując:",fentanyl w postaci donosowej,buprenorfinę w tabletkach podjęzykowych,,,,tramadol w systemie transdermalnym,nalokson we wlewie dożylnym,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,Działanie przeciwgorączkowe ma:,metamizol,paracetamol,kwas acetylosalicylowy,ibuprofen,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Przeciwwskazania,lekarski,testowe,"Popularna aspiryna, czyli poprawnie kwas acetylosalicylowy:",jest przeciwwskazana u dzieci do 12 r.ż,konkuruje o miejsce wiązania z ibuprofenem,,,,działa odwracalnie antyagregacyjnie,w małych dawkach preferencyjnie hamuje cyklooksygenazę 2,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
HEMOSTAZA,Antidotum,lekarski,testowe,Wskaż prawidłowy zestaw lek – antidotum:,heparyna – siarczan protaminy,warfaryna - fitomenadion,dabigatraban – idarucizumab,acenokumarol – koncentrat zespołu czynników protrombiny,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
HEMOSTAZA,Wskazania,lekarski,testowe,U pacjentów z mechaniczną zastawką serca potwierdzono skuteczność przeciwzakrzepową:,warfaryny,,,,,fondaparyny,kwasu acetylosalicylowego + klopidogrelu,dabigatranu,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
LEKI PRZECIWNOWOTWOROWE,Wskazania,lekarski,testowe,"Hematopoetycznymi czynnikami wzrostu, które znalazły zastosowanie kliniczne są:",darbepoetyna,filgrastym,lenograstym,interleukina-11,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Przeciwwskazania,lekarski,testowe,Przeciwwskazaniem do stosowania kwasu acetylosalicylowego w dawce antyagregacyjnej jest:,nadwrażliwość na NLPZ (niesteroidowe leki przeciwzapalne),,,,,choroba wrzodowa górnego odcinka przewodu pokarmowego w wywiadach,zespół zależności alkoholowej,niewydolność nerek,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Interakcje,lekarski,testowe,Istotnemu metabolizmowi wątrobowemu za pośrednictwem izoenzymów CYP podlega:,atorwastatyna,symwastatyna,,,,rosuwastatyna,prawastayna,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Mechanizm działania,lekarski,testowe,Inhibitory reduktazy HMG-CoA:,w większym stopniu zmniejszają stężenie cholesterolu LDL w surowicy w porównaniu z fibratami,,,,,w większym stopniu zmniejszają stężenie triglicerydów w surowicy w porównaniu z fibratami,mają istotny wpływ na stężenie Lp(a) = lipoproteiny a,nie powinny być łączone z inhibitorami PCSK9,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
HEMOSTAZA,Monitorowanie,lekarski,testowe,Wskaż prawidłowy zestaw lek – akceptowany sposób monitorowania działania:,rywaroksaban – aktywność czynnika anty - Xa,dabigatran - APTT,acenokumarol – INR,,,heparyna niefrakcjonowana – czas protrombinowy,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
LEKI IMMUNOSUPRESYJNE,Mechanizm działania,lekarski,testowe,Wskaż zestaw zawierający inhibitory kalcyneuryny:,"pimekrolimus, takrolimus, cyklosporyna",,,,,"cyklosporyna, pimekrolimus, sirolimus","ewerolimus, takrolimus, cyklosporyna","takrolimus, azatiopryna, pimekrolimus",,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
LEKI ROŚLINNE I SUPLEMENTY,Klasyfikacja,lekarski,testowe,"W Europie dopuszczono do obrotu biopodobne produkty zawierające infliksymab. Oznacza to, że:",wykazano ich podobieństwo farmaceutyczne z produktem oryginalnym,wykazano ich podobieństwo z produktem oryginalnym w modelach przedklinicznych,wykazano jego podobieństwo z produktem oryginalnym w badaniach klinicznych,wykazano ich podobną immunogenność z produktem oryginalnym w badaniach klinicznych,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Rozkurczający wpływ na mięśniówkę przewodu pokarmowego wywiera:,mebeweryna,,,,,racekadotryl,mesalazyna,ryfaksymina,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Metoklopramid:,to lek przeciwwymiotny,może spowodować hiperprolaktynemię,to lek prokinetyczny,może spowodować objawy pozapiramidowe,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,srednia
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,W skojarzonej terapii eradykacyjnej H. pylori zastosujesz zgodnie z aktualną wiedzą medyczną:,omeprazol,pantoprazol,cytrynian bizmutu,,,ranitydynę,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
STANY NAGŁE,Klasyfikacja,lekarski,testowe,Izotonicznym krystaloidem do uzupełnienie płynów jest:,"0,9% NaCl",płyn wieloelektrolitowy,"płyn 2 : 1 (5% glukoza + 0,9% NaCl)",,,4% roztw. żelatyny,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
LEKI PRZECIWNOWOTWOROWE,Działania niepożądane,lekarski,testowe,Lekiem genotoksycznym jest:,busulfan,mitomycyna,daktynomycyna,etopozyd,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,"Dysforia, nudności, wymioty, biegunka, bóle mięśni, łzawienie, wyciek z nosa, pocenie, rozszerzenie źrenic, piloerekcja, ziewanie i gorączka to cechy zespołu odstawiennego u uzależnionych od:",heroiny,,,,,etanolu,nikotyny,kokainy,,,KOLOKWIUM 1 – 2017/18 - 2 termin,wysoka
LEKI TOKSYCZNE W CIĄŻY,Ciąża,lekarski,testowe,Mykotoksyny:,to produkty wtórnego metabolizmu różnych rodzajów grzybów pleśniowych,są wytwarzane jako produkt uboczny w procesach metabolicznych lub są produktem wytwarzanym w celach obronnych,mogą mieć silne właściwości mutagenne lub teratogenne,są potencjalnie toksyczne dla ludzi i zwierząt,,,,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,niska
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,Wskaż korzystne cechy leku:,biodostępność po podaniu p.o. dorównująca biodostępności po podaniu i.v,dostępne swoiste antidotum,,,,procesy kinetyczne zgodne z kinetyką 0 rzędu,duża kumulacja w tkankach – wiązanie z biomolekułami,,,,KOLOKWIUM 1 – 2017/18 - 2 termin,srednia
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Jaki lek przeciwbakteryjny może odpowiadać poniższej charakterystyce? Ma dobrą biodostępność po podaniu doustnym i jest skuteczny w zakażeniach Streptococcus pneumoniae przy obecnym profilu oporności tego gatunku pod warunkiem właściwego schematu ekspozycji na lek:,lewofloksacyna,amoksycylina,,,,doksycyklina,ceftriakson,,,,KOLOKWIUM 2 – 2017/18 - 1 termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Co jest zasadniczym warunkiem skuteczności cefadroksylu w leczeniu niepowikłanych zakażeń układu moczowego?,przestrzeganie stałego interwału dawkowania zgodnie z parametrami farmakokinetycznymi leku,fT%>MIC ≥ 60%,,,,stały 10-dniowy cykl leczenia,"podanie jak największej bezpiecznej dawki jednorazowej, czyli uzyskanie maksymalnego bezpiecznego stężenia leku w surowicy",,,,KOLOKWIUM 2 – 2017/18 - 1 termin,srednia
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe stwierdzenia dotyczące kwasu klawulanowego:,"kwas klawulanowy powoduje niezależnie działania niepożądane, np. Polekowe zapalenie wątroby","zmniejszona wrażliwość Streptococcus pneumoniae na beta-laktamy ma mechanizm nieenzymatyczny, zatem stosowanie połączeń z kwasem klawulanowym w zakażeniach o tej etiologii nie ma uzasadnienia",amoksycylina + kwas klawulanowy powodują znaczną dysbakteriozę i skłonność do nadkażeń florą szpitalną,,,kwas klawulanowy jest przeciwwskazany w ciąży,,,,,KOLOKWIUM 2 – 2017/18 - 1 termin,wysoka
